text,rubric1,rubric2,rubric3,rubric4
"1) Assume that x is rational.
2) So x can be expressed as a/b where a and b are integers with no common factors, and b ≠ 0.
3) Therefore, x^2 = (a^2)/(b^2) by squaring both sides.
4) Since a^2 and b^2 are both integers, x^2 is rational.
5) By the principle of contraposition, if x^2 is irrational, then x must be irrational.",0,1,1,1
"1) To prove our point, assume x is rational  
2) Then x can be written as p/q, with integers p and q having no common factors  
3) Therefore, x^2 equals (p^2)/(q^2)  
4) Since p^2 and q^2 are integers, x^2 is rational  
5) Conclusively, through contraposition, if x^2 is irrational, it implies x is irrational",0,1,1,1
"1) Suppose x is rational.  
2) Hence, x can be written as m/n where m and n are integers with n ≠ 0.  
3) Squaring both sides gives us x^2 = m^2/n^2.  
4) As m^2 and n^2 are integers, x^2 is rational.  
5) By contraposition, this shows if x^2 is irrational, then x is irrational.",0,1,1,1
"1. CONTRAPOSITION  
1) Suppose x is rational.  
2) Then x = p/q, with integers p, q where q ≠ 0, and p/q is in its simplest form.  
3) Therefore, x^2 = (p^2/q^2).  
4) Since p^2 and q^2 are integers, x^2 is rational.  
5) By contraposition, if x^2 is irrational, x must be irrational.",0,1,1,1
"CONTRAPOSITION  
1) Suppose x is rational.  
2) Then x can be written as x = p/q, where p and q are integers with q ≠ 0.  
3) Squaring x gives x^2 = (p^2)/(q^2).  
4) Both p^2 and q^2 are integers, and since q ≠ 0, q^2 ≠ 0, meaning x^2 = c/d for integers c = p^2 and d = q^2.  
5) Therefore, x^2 is a rational number.  
Thus, by contraposition, if x^2 is irrational, then x is irrational.",0,1,1,1
"1. Consider the statement x is irrational if x^2 is irrational  
2. Assume that x is a rational number  
3. Then x can be written as a/b where a, b are integers with no common factors and b ≠ 0  
4. Calculate x^2 = (a/b)^2 = a^2/b^2  
5. Since a^2 and b^2 are integers, x^2 is rational by definition  
6. Therefore, if x^2 is irrational, x must be irrational by contraposition",0,1,1,1
"1) Assume x is rational  
2) x = a/b, where a and b are integers with no common factors  
3) Then x^2 = (a^2)/(b^2)  
4) Since a^2 and b^2 are integers, x^2 is rational  
5) If x^2 is irrational, then x is irrational by contraposition",0,1,1,1
"1) Let's start by assuming x is a rational number.  
2) This means x can be written as a/b, where a and b are integers with no common factors and b ≠ 0.  
3) Now, consider the square of x, which is x^2 = (a^2)/(b^2).  
4) Since a^2 and b^2 are also integers, x^2 is a rational number.  
5) Therefore, if x^2 turns out to be irrational, by contraposition, x must be irrational as well.",0,1,1,1
"1. Consider using contraposition  
2. Assume x is rational  
3. Write x as a/b where a and b are integers with no common denominators  
4. This means x^2 = (a^2)/(b^2)  
5. Hence, x^2 is also rational  
6. By contraposition, if x^2 is irrational, then x is irrational",0,1,1,1
"1) Begin by assuming x is rational.  
2) Therefore, x can be expressed as a/b, where a and b are integers and b ≠ 0.  
3) By squaring both sides, x^2 = (a^2)/(b^2).  
4) Since both a^2 and b^2 are integers and b^2 ≠ 0, x^2 is rational.  
5) By the contraposition method, if x^2 is irrational, then x must be irrational.",0,1,1,1
"1. Suppose x is a rational number.  
2. By definition, x = m/n for integers m and n, where n ≠ 0, and m and n have no common divisors.  
3. If we square x, we get x^2 = (m POWER 2) / (n POWER 2).  
4. This means x^2 is the quotient of two integers (m POWER 2, n POWER 2).  
5. Therefore, x^2 is rational.  
6. Hence, by contraposition, if x^2 is irrational, then x must be irrational.",0,1,1,1
"1. CONTRAPOSITION  
   1) Assume \( x \) is rational.  
   2) Then, \( x = \frac{a}{b} \), where \( a \) and \( b \) are integers, \( b \neq 0 \), and they share no common factors.  
   3) Squaring both sides gives \( x^2 = \frac{a^2}{b^2} \).  
   4) Since \( a^2 \) and \( b^2 \) are integers, \( x^2 \) is rational.  
   5) Therefore, by contraposition, if \( x^2 \) is irrational, \( x \) is irrational.",0,1,1,1
"1. CONTRAPOSITION  
1) Let x be a rational number  
2) This means x can be expressed as a/b where a and b are integers with b ≠ 0  
3) Squaring both sides, x^2 = (a/b)^2  
4) Thus x^2 = a^2/b^2  
5) a^2 and b^2 being integers implies x^2 is rational  
Therefore, by contraposition, if x^2 is irrational, then x is irrational.",0,1,1,1
