text,rubric1,rubric2,rubric3,rubric4
"1) Assuming x is a rational number  
2) x = r/s, where r and s are integers and s ≠ 0 [rational number definition]  
3) Squaring gives x^2 = (r/s)^2  
4) Therefore, x^2 = r^2/s^2  
5) r^2 and s^2 are integers, so x^2 is rational [definition of rational numbers squared]",0,1,1,0
"1. Assume x is a rational number.
2. Then x can be expressed as x = p/q where p and q are integers and q ≠ 0.
3. Squaring both sides gives us x^2 = (p/q)^2 = p^2/q^2.
4. Since p^2 and q^2 are products of integers, x^2 is rational.
5. Thus, this shows if x is rational, then x^2 is rational.",0,1,1,0
"1. Using contraposition:  
   1) Assume x is rational.  
   2) Then, x can be expressed as x = a/b, where a and b are integers with b ≠ 0.  
   3) So, x^2 = (a/b)^2.  
   4) Define new variables c = a^2 and d = b^2.  
   5) Then x^2 = c/d, with c and d being integers.  
   6) This means x^2 is rational.",0,1,1,0
"1. ASSUME CONTRAPOSITION  
2. SUPPOSE x is rational [Assumed premise]  
3. THEN x can be expressed as a/b where a and b are integers, and b is not zero (Definition of rational numbers)  
4. THEREFORE, x^2 = (a^2)/(b^2) [By squaring both sides]  
5. HENCE, x^2 is rational (a^2 and b^2 are integers, makes the ratio a^2/b^2 a rational number)",0,1,1,0
"1. Assume x is a rational number.  
2. Let x = a/b for integers a and b, where b ≠ 0, and a and b have no common factors.  
3. Then x^2 = (a/b)^2.  
4. Introduce new variables c = a^2 and d = b^2, both of which are integers.  
5. Thus, x^2 can be expressed as c/d.  
6. By the definition of rational numbers, x^2 is rational.",0,1,1,0
"- Proof by Contraposition  
   1) Let x be rational, then x can be written as c/d with c and d integers [definition]  
   2) x^2 = (c/d)^2 = (c^2)/(d^2)  
   3) Since both c^2 and d^2 are integers, x^2 is also expressed as an integer fraction  
   4) Therefore, x^2 is a rational number",0,1,1,0
"1. PROVE BY CONTRAPOSITION  
1) Assume x is rational [Starting point]  
2) x can be written as a/b where a and b ≠ 0, both integers [Definition of a rational number]  
3) x^2 = (a/b)^2 = a^2/b^2 [Squaring]  
4) a^2 and b^2 are integers [Properties of integers]  
5) Therefore, x^2 is rational [Definition of a rational number]",0,1,1,0
"1. CONTRAPOSITION  
2) Let's assume x is a rational number  
3) Then x = m/n where m and n are integers and n ≠ 0  
4) Calculate x^2 = (m POWER 2)/(n POWER 2)  
5) Define a = m^2 and b = n^2  
6) Therefore, x^2 = a/b where a and b are integers and b ≠ 0  
7) So x^2 is rational",0,1,1,0
"1. Contraposition
  1) Start with x being rational.
  2) Thus, x can be written as a fraction p/q, where p and q are integers.
  3) Squaring gives us x^2 = (p^2)/(q^2).
  4) Since p^2 and q^2 are integers, x^2 turns out rational.
  5) This shows rational x implies rational x^2.",0,1,1,0
"1. Let x be a rational number.  
2. We can write x as p/q, where p and q are integers and q ≠ 0.  
3. Then x^2 = (p/q)^2 = p^2/q^2.  
4. As p^2 and q^2 are integers, with q^2 ≠ 0, x^2 is rational as well.  
5. Consequently, if x is rational, then x^2 is rational.",0,1,1,0
