text,rubric1,rubric2,rubric3,rubric4
"1. CONTRAPOSITION  
   We want to prove that if x^2 is irrational, then x is irrational by showing the contraposition: if x is rational, then x^2 is rational.

1) Assume x is rational.
2) Then x = m/n, where m and n are integers and n ≠ 0.
3) By squaring, we have x^2 = (m/n)^2 = m^2/n^2.
4) Let m^2 = c and n^2 = d, where c and d are integers.
5) Now, x^2 = c/d, which means x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
The statement if x is rational, then x^2 is rational is what we want to prove:  
1) x is rational.  
2) x can be written as a/b, where a and b are integers.  
3) By squaring, x^2 = (a/b)^2 = a^2/b^2.  
4) Thus, x^2 is rational as a^2 and b^2 are integers.",1,1,1,0
"1. CONTRAPOSITION  
To show by contraposition: if x is rational, then x^2 is rational.  
1) Assume x is rational   
2) Represent x as a/b, where b is not zero  
3) x^2 = (a/b)^2 = a^2/b^2  
4) Conclude x^2 is rational due to x^2 in the form of a ratio",1,1,1,0
"1. CONTRAPOSITION  
   To prove by contraposition that if x is rational, then x^2 is rational.  
1) Assume x is rational. (Assumption)  
2) Let x = a/b, where a and b are integers and b ≠ 0. (By definition)  
3) Square x to get x^2 = (a/b)^2 = a^2/b^2.  
4) Assign k = a^2 and l = b^2, which are integers by definition of integers.  
5) Now, x^2 = k/l, showing that x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
Prove that if x is rational, then x^2 must be rational.  
1) Assume x is a rational number.  
2) This means that it can be written as p/q, with both integers p, q and q not equal to zero.  
3) Squaring both sides gives us x^2 = (p^2)/(q^2).  
4) Therefore, we see that x^2 is rational.",1,1,1,0
"1. We use contraposition: Assume if x is rational then x^2 is rational.  
2. Assume x is rational.   
3. Then, x = a/b where a and b are integers with b ≠ 0.  
4. Now, x^2 = (a/b)^2 = a^2/b^2.  
5. Let's say a^2 = c and b^2 = d, where c and d are integers.  
6. Hence, x^2 = c/d.  
7. Therefore, x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
To prove by contraposition: if x is rational, then x^2 is rational:  
1) Suppose x is rational  
2) Therefore x = m/n where m and n are integers, n ≠ 0  
3) When squared, (x)^2 = (m/n)^2  
4) This simplifies to x^2 = m^2/n^2  
5) Since m^2 and n^2 are integers, x^2 can be expressed as a fraction of two integers  
6) Thus, x^2 is rational",1,1,1,0
"1. CONTRAPOSITION  
Proof by contraposition: assume if x is rational, then x^2 is rational.  
1) Assume x is rational  
2) x can be written as m/n, n ≠ 0  
3) Compute x^2 = (m/n) POWER 2 = m POWER 2/n POWER 2  
4) Conclude x^2 is in the rational form",1,1,1,0
"1. CONTRAPOSITION  
By contraposition, demonstrate if x is rational, then x^2 is rational:  
1) Assume x is rational  
2) x can be represented as c/d (Definition)  
3) Therefore, x^2 = (c/d)^2 = (c^2)/(d^2)  
4) Thus, x^2 results in a rational number",1,1,1,0
"1. CONTRAPOSITION  
The goal is to show if x is rational, then x^2 is rational.

1) Assume x is a rational number.
2) Therefore, x = p/q where p and q are integers, q ≠ 0.
3) Squaring gives x^2 = (p^2)/(q^2).
4) Define p^2 = c and q^2 = d, both being integers.
5) So x^2 = c/d, hence x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
We need to prove that if x is rational, then x^2 is rational.  
1) Assume x is rational.  
2) Then, x can be expressed as a/b, where a and b are integers with no common factors.  
3) Thus, x^2 = (a/b)^2 = (a^2)/(b^2).  
4) Since a^2 and b^2 are integers, x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION   
1) We need to prove that if x is rational, then x^2 is rational.   
2) Suppose x is rational.  
3) Then x can be represented as a/b, where a and b are integers.  
4) Squaring both sides gives x^2 = (a^2)/(b^2).  
5) Since a^2 and b^2 are integers, x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
   We need to show that if x is rational, then x^2 is rational to prove the contrapositive of the statement.

1) Let's assume x is rational.
2) This means x can be expressed as a/b, where a and b are integers, and b ≠ 0.
3) Squaring both sides gives x^2 = (a POWER 2)/(b POWER 2).
4) Assign a^2 = s and b^2 = t, both integers.
5) Therefore, x^2 = s/t, indicating that x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
   To prove by contraposition: if x is rational, then x^2 is rational.
1) Assume x is rational.
2) So we can write x as x = a/b where both a and b are integers and b ≠ 0.
3) Squaring both sides gives x^2 = (a^2)/(b^2) = a^2/b^2.
4) Let a^2 = c and b^2 = d, where c and d are integers.
5) Then, x^2 = c/d, which indicates x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
   To prove that when x is rational, x^2 must be rational.  
2. Let's assume x is rational, which means x can be written as x = a/b, where a and b are integers, and b ≠ 0, with a and b having no common divisors.  
3. Now, x^2 = (a^2)/(b^2).  
4. Since a^2 and b^2 are integers, x^2 is expressed as a ratio of two integers.  
5. Therefore, x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
We need: If x is rational, then x squared is also rational.  
1) Suppose x is rational.  
2) There exists integers a and b such that x = a/b.  
3) Then x^2 becomes (a^2)/(b^2).  
4) a^2 and b^2 are both integers, so x^2 is rational.",1,1,1,0
"1. CONTRAPOSITION  
  Showing that if x is rational, then x^2 is rational:  
  1) Assume x is rational  
  2) Therefore, x = c/d, where c and d are integers  
  3) Then, x^2 = (c/d)^2 = c^2/d^2  
  4) x^2 can be expressed as the ratio of two integers, so it is rational",1,1,1,0
